File,T_Frames,Label
07_upper_25_Assemble6.json.json,41,Assemble
04_upper_37_Use4.json.json,69,Use
05_upper_33_Position3.json.json,40,Position
18_upper_15_Assemble3.json.json,54,Assemble
13_upper_40_Reach6.json.json,36,Reach
23_upper_13_Grasp3.json.json,27,Grasp
13_upper_28_Position0.json.json,48,Position
07_upper_10_Move2.json.json,31,Move
18_upper_30_Use1.json.json,57,Use
02_upper_16_Reach2.json.json,25,Reach
17_upper_7_Assemble1.json.json,53,Assemble
05_upper_13_Grasp3.json.json,39,Grasp
02_upper_34_Use3.json.json,62,Use
10_upper_27_Position0.json.json,65,Position
04_upper_39_Release0.json.json,61,Release
04_upper_32_Position2.json.json,47,Position
21_upper_27_Position0.json.json,40,Position
21_upper_2_Move0.json.json,45,Move
05_upper_38_Release0.json.json,43,Release
01_upper_35_Use3.json.json,62,Use
07_upper_30_Use0.json.json,53,Use
04_upper_29_Use0.json.json,66,Use
01_upper_2_Grasp0.json.json,55,Grasp
17_upper_22_Move5.json.json,45,Move
06_upper_36_Use4.json.json,59,Use
21_upper_18_Move4.json.json,33,Move
21_upper_36_Use4.json.json,66,Use
25_upper_21_Grasp5.json.json,29,Grasp
25_upper_20_Reach4.json.json,28,Reach
21_upper_15_Assemble3.json.json,39,Assemble
26_upper_25_Grasp6.json.json,53,Grasp
04_upper_4_Assemble0.json.json,39,Assemble
25_upper_32_Use2.json.json,62,Use
03_upper_18_Assemble3.json.json,28,Assemble
10_upper_37_Move7.json.json,57,Move
21_upper_32_Use2.json.json,66,Use
06_upper_20_Reach4.json.json,39,Reach
01_upper_33_Use2.json.json,59,Use
13_upper_18_Grasp4.json.json,62,Grasp
13_upper_38_Move7.json.json,45,Move
25_upper_18_Move4.json.json,41,Move
25_upper_24_Reach5.json.json,64,Reach
01_upper_6_Grasp1.json.json,35,Grasp
16_upper_32_Use2.json.json,63,Use
18_upper_1_Grasp0.json.json,39,Grasp
16_upper_1_Grasp0.json.json,31,Grasp
21_upper_34_Use3.json.json,65,Use
23_upper_35_Position4.json.json,40,Position
10_upper_15_Assemble3.json.json,41,Assemble
06_upper_28_Use0.json.json,62,Use
02_upper_26_Move7.json.json,40,Move
10_upper_33_Position3.json.json,72,Position
07_upper_26_Reach6.json.json,57,Reach
26_upper_13_Grasp3.json.json,42,Grasp
24_upper_39_Move7.json.json,51,Move
26_upper_8_Reach1.json.json,23,Reach
03_upper_40_Position4.json.json,47,Position
05_upper_12_Reach2.json.json,44,Reach
02_upper_33_Position3.json.json,47,Position
04_upper_23_Move5.json.json,39,Move
17_upper_3_Assemble0.json.json,69,Assemble
18_upper_33_Position3.json.json,63,Position
24_upper_5_Assemble0.json.json,66,Assemble
16_upper_22_Move5.json.json,38,Move
17_upper_25_Grasp6.json.json,31,Grasp
01_upper_22_Grasp5.json.json,17,Grasp
04_upper_22_Grasp5.json.json,60,Grasp
21_upper_30_Use1.json.json,56,Use
17_upper_33_Position3.json.json,43,Position
16_upper_18_Move4.json.json,43,Move
25_upper_2_Move0.json.json,45,Move
17_upper_13_Grasp3.json.json,45,Grasp
25_upper_29_Position1.json.json,73,Position
07_upper_24_Move5.json.json,61,Move
05_upper_19_Assemble4.json.json,34,Assemble
07_upper_15_Assemble3.json.json,41,Assemble
06_upper_37_Move7.json.json,39,Move
04_upper_3_Move0.json.json,54,Move
05_upper_34_Use3.json.json,60,Use
25_upper_6_Move1.json.json,37,Move
04_upper_40_Reach7.json.json,43,Reach
05_upper_20_Reach4.json.json,22,Reach
07_upper_40_Release0.json.json,61,Release
06_upper_27_Position0.json.json,38,Position
01_upper_3_Move0.json.json,65,Move
26_upper_31_Position2.json.json,44,Position
10_upper_38_Release0.json.json,74,Release
01_upper_36_Position4.json.json,48,Position
21_upper_20_Reach4.json.json,26,Reach
04_upper_19_Move4.json.json,65,Move
16_upper_20_Reach4.json.json,36,Reach
24_upper_24_Move5.json.json,31,Move
21_upper_39_Reach6.json.json,42,Reach
25_upper_14_Move3.json.json,29,Move
10_upper_13_Grasp3.json.json,31,Grasp
16_upper_7_Assemble1.json.json,54,Assemble
24_upper_35_Position3.json.json,60,Position
23_upper_39_Reach6.json.json,23,Reach
26_upper_22_Move5.json.json,39,Move
07_upper_19_Grasp4.json.json,31,Grasp
26_upper_17_Grasp4.json.json,20,Grasp
23_upper_17_Grasp4.json.json,25,Grasp
26_upper_11_Assemble2.json.json,54,Assemble
26_upper_24_Reach5.json.json,22,Reach
24_upper_30_Use0.json.json,56,Use
10_upper_20_Reach4.json.json,25,Reach
17_upper_2_Move0.json.json,23,Move
03_upper_5_Assemble0.json.json,41,Assemble
17_upper_28_Use0.json.json,52,Use
26_upper_30_Use1.json.json,62,Use
16_upper_38_Release0.json.json,52,Release
05_upper_6_Move1.json.json,35,Move
24_upper_34_Use2.json.json,63,Use
02_upper_18_Move5.json.json,35,Move
05_upper_1_Grasp0.json.json,69,Grasp
07_upper_6_Move1.json.json,37,Move
04_upper_13_Reach3.json.json,35,Reach
26_upper_27_Position0.json.json,36,Position
26_upper_38_Release0.json.json,71,Release
06_upper_30_Use1.json.json,62,Use
21_upper_13_Grasp3.json.json,35,Grasp
23_upper_2_Move0.json.json,36,Move
13_upper_34_Position3.json.json,57,Position
06_upper_6_Move1.json.json,47,Move
25_upper_38_Release0.json.json,61,Release
13_upper_39_Release0.json.json,67,Release
06_upper_7_Assemble1.json.json,68,Assemble
26_upper_19_Assemble4.json.json,41,Assemble
02_upper_37_Move8.json.json,70,Move
13_upper_2_Grasp0.json.json,69,Grasp
16_upper_13_Grasp3.json.json,23,Grasp
17_upper_27_Position0.json.json,43,Position
25_upper_26_Move6.json.json,53,Move
07_upper_4_Reach0.json.json,43,Reach
23_upper_18_Move4.json.json,41,Move
05_upper_10_Move2.json.json,43,Move
24_upper_25_Assemble5.json.json,49,Assemble
26_upper_15_Assemble3.json.json,69,Assemble
24_upper_21_Assemble4.json.json,27,Assemble
02_upper_8_Move2.json.json,35,Move
25_upper_3_Assemble0.json.json,44,Assemble
21_upper_29_Position1.json.json,52,Position
02_upper_38_Release0.json.json,54,Release
21_upper_17_Grasp4.json.json,33,Grasp
02_upper_25_Grasp6.json.json,45,Grasp
04_upper_17_Reach4.json.json,35,Reach
03_upper_11_Reach2.json.json,42,Reach
23_upper_7_Assemble1.json.json,68,Assemble
26_upper_29_Position1.json.json,52,Position
03_upper_10_Assemble1.json.json,59,Assemble
25_upper_12_Reach2.json.json,33,Reach
23_upper_24_Reach5.json.json,34,Reach
07_upper_14_Move3.json.json,31,Move
02_upper_20_Reach3.json.json,30,Reach
01_upper_18_Grasp4.json.json,20,Grasp
05_upper_39_Reach6.json.json,38,Reach
03_upper_35_Use1.json.json,70,Use
03_upper_44_Reach9.json.json,38,Reach
17_upper_16_Reach3.json.json,42,Reach
01_upper_1_Reach0.json.json,32,Reach
02_upper_19_Assemble4.json.json,57,Assemble
24_upper_15_Grasp3.json.json,23,Grasp
05_upper_2_Move0.json.json,67,Move
21_upper_24_Reach5.json.json,43,Reach
18_upper_21_Grasp5.json.json,38,Grasp
18_upper_29_Position1.json.json,46,Position
07_upper_16_Reach3.json.json,42,Reach
18_upper_4_Reach0.json.json,53,Reach
16_upper_12_Reach2.json.json,40,Reach
06_upper_14_Move3.json.json,60,Move
17_upper_11_Assemble2.json.json,55,Assemble
05_upper_24_Reach5.json.json,58,Reach
01_upper_9_Reach2.json.json,25,Reach
23_upper_10_Move2.json.json,29,Move
18_upper_39_Reach6.json.json,50,Reach
17_upper_15_Assemble3.json.json,41,Assemble
21_upper_23_Assemble5.json.json,57,Assemble
24_upper_18_Reach4.json.json,25,Reach
07_upper_27_Grasp6.json.json,64,Grasp
01_upper_24_Assemble5.json.json,60,Assemble
16_upper_33_Position3.json.json,47,Position
18_upper_23_Assemble5.json.json,68,Assemble
13_upper_12_Assemble2.json.json,25,Assemble
06_upper_22_Move5.json.json,35,Move
26_upper_6_Move1.json.json,49,Move
21_upper_33_Position3.json.json,68,Position
10_upper_29_Position1.json.json,74,Position
03_upper_29_Reach8.json.json,40,Reach
23_upper_34_Use3.json.json,62,Use
04_upper_5_Reach1.json.json,60,Reach
04_upper_27_Move6.json.json,45,Move
02_upper_12_Reach1.json.json,21,Reach
21_upper_21_Grasp5.json.json,22,Grasp
03_upper_4_Move0.json.json,72,Move
10_upper_3_Assemble0.json.json,45,Assemble
18_upper_17_Grasp4.json.json,36,Grasp
26_upper_7_Assemble1.json.json,46,Assemble
02_upper_22_Move6.json.json,35,Move
17_upper_6_Move1.json.json,47,Move
03_upper_23_Reach5.json.json,44,Reach
13_upper_19_Move4.json.json,37,Move
10_upper_8_Reach1.json.json,23,Reach
16_upper_25_Grasp6.json.json,36,Grasp
04_upper_11_Move2.json.json,50,Move
03_upper_12_Grasp2.json.json,31,Grasp
03_upper_27_Reach6.json.json,32,Reach
26_upper_2_Move0.json.json,46,Move
23_upper_29_Position1.json.json,71,Position
10_upper_18_Move4.json.json,27,Move
24_upper_11_Grasp2.json.json,33,Grasp
06_upper_18_Move4.json.json,50,Move
17_upper_17_Grasp4.json.json,47,Grasp
07_upper_41_Reach7.json.json,33,Reach
03_upper_32_Position0.json.json,42,Position
26_upper_34_Use3.json.json,59,Use
04_upper_16_Assemble3.json.json,35,Assemble
03_upper_15_Reach3.json.json,38,Reach
18_upper_19_Assemble4.json.json,64,Assemble
02_upper_27_Position0.json.json,38,Position
17_upper_8_Reach1.json.json,38,Reach
01_upper_29_Use0.json.json,57,Use
24_upper_38_Use4.json.json,65,Use
05_upper_36_Use4.json.json,55,Use
07_upper_32_Use1.json.json,73,Use
02_upper_17_Grasp4.json.json,45,Grasp
05_upper_9_Grasp2.json.json,36,Grasp
25_upper_13_Grasp3.json.json,30,Grasp
16_upper_21_Grasp5.json.json,35,Grasp
26_upper_20_Reach4.json.json,33,Reach
06_upper_31_Position2.json.json,44,Position
17_upper_24_Reach5.json.json,40,Reach
24_upper_32_Use1.json.json,62,Use
18_upper_14_Move3.json.json,37,Move
17_upper_34_Use3.json.json,58,Use
18_upper_5_Grasp1.json.json,39,Grasp
02_upper_30_Use1.json.json,61,Use
16_upper_34_Use3.json.json,63,Use
16_upper_16_Reach3.json.json,36,Reach
26_upper_33_Position3.json.json,39,Position
05_upper_25_Grasp6.json.json,55,Grasp
23_upper_14_Move3.json.json,32,Move
07_upper_31_Position1.json.json,72,Position
13_upper_7_Move1.json.json,33,Move
23_upper_22_Move5.json.json,24,Move
26_upper_18_Move4.json.json,62,Move
10_upper_31_Position2.json.json,49,Position
23_upper_30_Use1.json.json,60,Use
21_upper_28_Use0.json.json,51,Use
04_upper_7_Move1.json.json,57,Move
21_upper_6_Move1.json.json,45,Move
03_upper_13_Move2.json.json,32,Move
18_upper_22_Move5.json.json,50,Move
25_upper_4_Reach0.json.json,39,Reach
06_upper_21_Grasp5.json.json,36,Grasp
01_upper_28_Position0.json.json,46,Position
18_upper_20_Reach4.json.json,29,Reach
05_upper_26_Move6.json.json,40,Move
